task_id,item_type,model_type,ca_pilot,co_pilot,de_pilot
<<<<<<< HEAD
egma-math,Rasch,1,0.8629063886863834,0.9309171080293545,0.8798686425471782
hearts-and-flowers,2PL,1,0.9037477902114215,0.7732740991333652,0.7934193637519421
matrix-reasoning,Rasch,1,0.9600180726377974,0.939610687238026,0.8983061342706689
memory-game,Rasch,1,0.8816941555582534,0.8588214736670841,0.9333903502837421
mental-rotation,2PL,1,0.8928828926985745,0.9149154848649877,0.7882622198428871
same-different-selection,2PL,1,0.9430093927820675,0.9764814046055882,0.9667316379042119
theory-of-mind,2PL,1,0.7784997001736091,0.9215656449386883,0.6854675907287323
trog,Rasch,1,0.7181721123218622,0.8825597734094017,0.9564546765066669
vocab,2PL,1,0.97514462087178,0.9888910586063444,0.9825191089820704
=======
egma-math,2PL,mod_metric,0.9554363853639746,0.9648671344872927,0.9577450016116933
hearts-and-flowers,Rasch,mod_scalar,0.519427395334645,0.7185606299533174,0.6156157079710705
matrix-reasoning,Rasch,mod_metric,0.9600180726377974,0.939610687238026,0.8983061342706689
memory-game,Rasch,mod_metric,0.884789914685411,0.8653633774225078,0.9357598313534012
mental-rotation,2PL,mod_metric,0.8907399707528848,0.9169327930573621,0.7881893637746753
same-different-selection,Rasch,mod_metric,0.9032464719012505,0.9429707052376658,0.9439129322778028
theory-of-mind,2PL,mod_metric,0.7998056358161666,0.9070688766444843,0.6854123618668466
trog,Rasch,mod_metric,0.7181721123218622,0.8825597734094017,0.9564546765066669
vocab,2PL,mod_metric,0.97514462087178,0.9888910586063444,0.9825191089820704
>>>>>>> c0a6d46c9839e706a15388c1b44b41c3785f10d8
