source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives,item_id,a,g,u,difficulty
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt2,Choose the picture that matches this one.,2,Rn-000,5000,Rn-000-silh,practice,"Rp-000-silh,Rn-000-silh",rn000,NA,NA,NA,NA
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,3,Rp-000,5000,Rp-000-silh,practice,"Rp-000-silh,Rn-000-silh",rp000,NA,NA,NA,NA
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,4,Rp-020,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp020,1,0.5,1,-3.014423658567329
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,6,Rn-040,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn040,1,0.5,1,-3.369289517933138
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,7,Rp-040,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp040,1,0.5,1,-3.7729937887276477
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,5,Rn-020,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn020,1,0.5,1,-3.181937820297733
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,8,Rp-080,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp080,1,0.5,1,-1.9287775821593098
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,10,Rp-120,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp120,1,0.5,1,1.0212581590245176
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,12,Rp-160,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp160,1,0.5,1,1.2250347773700743
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,11,Rn-120,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn120,1,0.5,1,1.2478970580653583
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,14,Rp-200,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp200,1,0.5,1,2.7673377384614524
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,13,Rn-160,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn160,1,0.5,1,2.868868121899362
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,9,Rn-080,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn080,1,0.5,1,0.5016362350309355
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,10,Rp-120,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp120,1,0.5,1,1.0212581590245176
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,12,Rp-160,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp160,1,0.5,1,1.2250347773700743
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,11,Rn-120,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn120,1,0.5,1,1.2478970580653583
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,13,Rn-160,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn160,1,0.5,1,2.868868121899362
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,15,Rn-200,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn200,1,0.5,1,3.3224988245369325
