source,task,audio_file,prompt,orig_item_num,trial_type,item,answer,response_alternatives,assessment_stage,chance_level,item_id,d
,TROG,trog-instruct1,"Now we're going to play a matching game! I'm going to say some words, and you touch the picture that goes with what I say. Ready?",0,instructions,,,,instructions,,trog-instruct1,NA
Bishop1983,TROG,trog-item-1,Choose the picture of the...,1,noun,shoe,1-shoe,"1-fork,1-boy,1-tree",test_response,0.25,trog-item-1,NA
Bishop1983,TROG,trog-item-2,Choose the picture of the...,2,noun,bird,2-bird,"2-chair,2-hat,2-woman",test_response,0.25,trog-item-2,NA
Bishop1983,TROG,trog-item-3,Choose the picture of the...,3,noun,comb,3-comb,"3-man,3-table,3-wall",test_response,0.25,trog-item-3,NA
Bishop1983,TROG,trog-item-4,Choose the picture of the...,4,noun,apple,4-apple,"4-elephant,4-fence,4-grass",test_response,0.25,trog-item-4,NA
Bishop1983,TROG,trog-item-5,Choose the picture of...,5,verb,eating,5-eating,"5-kicking,5-riding,5-dropping",test_response,0.25,trog-item-5,-3.67535434
Bishop1983,TROG,trog-item-6,Choose the picture of...,6,verb,picking,6-picking,"6-running,6-climbing,6-standing",test_response,0.25,trog-item-6,-2.965303515
Bishop1983,TROG,trog-item-7,Choose the picture of...,7,verb,sitting,7-sitting,"7-holding,7-jumping,7-pushing",test_response,0.25,trog-item-7,-3.73253589
Bishop1983,TROG,trog-item-8,Choose the picture of...,8,verb,running,8-running,"8-dancing,8-drinking,8-reading",test_response,0.25,trog-item-8,-3.499903865
Bishop1983,TROG,trog-item-9,Choose the picture that shows...,9,adjective,long,9-long,"9-short1,9-short2,9-short3",test_response,0.25,trog-item-9,-4.231416422
Bishop1983,TROG,trog-item-10,Choose the picture that shows...,10,adjective,tall,10-tall,"10-boy1,10-girl1,10-girl2",test_response,0.25,trog-item-10,-2.735785944
Bishop1983,TROG,trog-item-11,Choose the picture that shows...,11,adjective,red,11-red,"11-blue,11-pink,11-yellow",test_response,0.25,trog-item-11,-4.495436067
Bishop1983,TROG,trog-item-12,Choose the picture that shows...,12,adjective,black,12-black-horse,"12-brown-horse,12-grey-dog,12-yellow-dog",test_response,0.25,trog-item-12,-4.05284745
Bishop1983,TROG,trog-item-13,Touch the picture that shows...,13,two element combination,the boy is running,13-boy-running,"13-cat-sitting,13-cow-walking,13-person-sitting",test_response,0.25,trog-item-13,-3.625431352
Bishop1983,TROG,trog-item-14,Touch the picture that shows...,14,two element combination,the big cup,14-big-cup,"14-blue-box,14-pink-cup,14-purple-box",test_response,0.25,trog-item-14,-3.357088947
Bishop1983,TROG,trog-item-15,Touch the picture that shows...,15,two element combination,the dog is sitting,15-dog-sitting,"15-dog-eating,15-girl-sitting,15-girl-skipping",test_response,0.25,trog-item-15,-3.546466713
Bishop1983,TROG,trog-item-16,Touch the picture that shows...,16,two element combination,the red ball,16-red-ball,"16-green-comb,16-purple-ball,16-red-comb",test_response,0.25,trog-item-16,-4.087227849
Bishop1983,TROG,trog-item-17,Touch the picture that shows...,17,negative,the boy is not running,17-boy-sitting,"17-boy-running,17-cat-napping,17-horse-standing",test_response,0.25,trog-item-17,-2.863393249
Bishop1983,TROG,trog-item-18,Touch the picture that shows...,18,negative,the dog is not drinking,18-dog-not-drinking,"18-dog-drinking,18-baby-sitting,18-girl-standing",test_response,0.25,trog-item-18,-3.320136478
Bishop1983,TROG,trog-item-19,Touch the picture that shows...,19,negative,the girl is not jumping,19-girl-not-jumping,"19-cat-sitting,19-girl-jumping,19-horse-standing",test_response,0.25,trog-item-19,-3.190306605
Bishop1983,TROG,trog-item-20,Touch the picture that shows...,20,negative,the dog is not sitting,20-dog-standing,"20-dog-sitting,20-girl-standing,20-man-standing",test_response,0.25,trog-item-20,-3.107114053
Bishop1983,TROG,trog-item-21,Touch the picture that shows...,21,three element combination,the boy is jumping over the box,21-boy-jump-box,"21-boy-hold-box,21-boy-run,21-horse-jump-box",test_response,0.25,trog-item-21,-3.437028361
Bishop1983,TROG,trog-item-22,Touch the picture that shows...,22,three element combination,the girl is sitting on the table,22-girl-on-table,"22-cat-on-table,22-girl-at-table,22-girl-squatting",test_response,0.25,trog-item-22,-3.312828442
Bishop1983,TROG,trog-item-23,Touch the picture that shows...,23,three element combination,the man is eating the apple,23-man-eat-apple,"23-girl-kick-apple,23-horse-eat-apple,23-woman-eat-dinner",test_response,0.25,trog-item-23,-3.438150423
Bishop1983,TROG,trog-item-24,Touch the picture that shows...,24,three element combination,the lady is carrying the bag,24-woman-carry-bag,"24-woman-carry-chair,24-dog-carry-bag,24-woman-drop-bag",test_response,0.25,trog-item-24,-2.892620533
Bishop1983,TROG,trog-item-25,Touch the picture that shows...,25,singular/plural personal pronoun,they are sitting on the table,25-2-girls-on-table,"25-2-people-draw-on-table,25-2-people-on-carpet,25-boy-on-table",test_response,0.25,trog-item-25,-3.035292763
Bishop1983,TROG,trog-item-26,Touch the picture that shows...,26,singular/plural personal pronoun,the cow is looking at them,26-2-girls-face-cow,"26-girl-faces-cow,26-two-boys-ride-cow,26-two-people-look-at-butterfly",test_response,0.25,trog-item-26,-2.511346058
Bishop1983,TROG,trog-item-27,Touch the picture that shows...,27,singular/plural personal pronoun,they are jumping over the wall,27-people-jump-wall,"27-girl-jump-wall,27-girls-behind-wall,27-boys-jump-grass",test_response,0.25,trog-item-27,-2.837302583
Bishop1983,TROG,trog-item-28,Touch the picture that shows...,28,singular/plural personal pronoun,the elephant is carrying them,28-elephant-carries-them,"28-woman-carries-babies,28-boy-rides-elephant,28-run-from-elephant",test_response,0.25,trog-item-28,-2.663359415
Bishop1983,TROG,trog-item-29,Touch the picture that shows...,29,reversible active,the girl is pushing the horse,29-girl-pushes-horse,"29-boy-rides-horse,29-horse-pushes-girl,29-girl-pushes-man",test_response,0.25,trog-item-29,-3.004953223
Bishop1983,TROG,trog-item-30,Touch the picture that shows...,30,reversible active,the boy is chasing the sheep,30-boy-chases-sheep,"30-sheep-chases-man,30-boy-chases-ball,30-dog-chases-sheep",test_response,0.25,trog-item-30,-2.903149257
Bishop1983,TROG,trog-item-31,Touch the picture that shows...,31,reversible active,the man is chasing the dog,31-man-chases-dog,"31-man-chases-cart,31-girl-pets-dog,31-dog-chases-boy",test_response,0.25,trog-item-31,-2.986863458
Bishop1983,TROG,trog-item-32,Touch the picture that shows...,32,reversible active,the cow is pushing the lady,32-cow-pushes-woman,"32-girl-pushes-woman,32-girl-feeds-cow,32-girl-pushes-cow",test_response,0.25,trog-item-32,-3.573687106
