source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt2,Choose the picture that matches this one.,2,Rn-000,5000,Rn-000-silh,practice,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,3,Rp-000,5000,Rp-000-silh,practice,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,4,Rp-020,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,6,Rn-040,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,7,Rp-040,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,5,Rn-020,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,8,Rp-080,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,10,Rp-120,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,12,Rp-160,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,11,Rn-120,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,14,Rp-200,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,13,Rn-160,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
