source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,answer,assessment_stage,response_alternatives,chance_level,item_id,difficulty
MarsIB-CB2-tf1,0,Matrix Reasoning,practice,matrix-reasoning-instruct2,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,1,tf1_1_M_ss3,tf1_1_T1_ss3_md,practice_response,"tf1_1_T2_ss3_md,tf1_1_T3_ss3_md,tf1_1_T4_ss3_md",0.25,tf1_1_M_ss3,NA
MarsIB-CB2-tf1,0,Matrix Reasoning,practice,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,3,tf1_3_M_ss2,tf1_3_T1_ss2_md,practice_response,"tf1_3_T3_ss2_md,tf1_3_T4_ss2_md,tf1_3_T2_ss2_md",0.25,tf1_3_M_ss2,NA
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,4,tf1_4_M_ss3,tf1_4_T1_ss3_md,test_response,"tf1_4_T3_ss3_md,tf1_4_T4_ss3_md,tf1_4_T2_ss3_md",0.25,tf1_4_M_ss3,-0.668
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,2,tf1_2_M_ss1,tf1_2_T1_ss1_md,test_response,"tf1_2_T4_ss1_md,tf1_2_T2_ss1_md,tf1_2_T3_ss1_md",0.25,tf1_2_M_ss1,-0.741
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,5,tf1_5_M_ss1,tf1_5_T1_ss1_md,test_response,"tf1_5_T3_ss1_md,tf1_5_T2_ss1_md,tf1_5_T4_ss1_md",0.25,tf1_5_M_ss1,-1.301
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,7,tf1_7_M_ss3,tf1_7_T1_ss3_md,test_response,"tf1_7_T3_ss3_md,tf1_7_T2_ss3_md,tf1_7_T4_ss3_md",0.25,tf1_7_M_ss3,-0.543
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,8,tf1_8_M_ss1,tf1_8_T1_ss1_md,test_response,"tf1_8_T3_ss1_md,tf1_8_T4_ss1_md,tf1_8_T2_ss1_md",0.25,tf1_8_M_ss1,1.067
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,9,tf1_9_M_ss2,tf1_9_T1_ss2_md,test_response,"tf1_9_T3_ss2_md,tf1_9_T2_ss2_md,tf1_9_T4_ss2_md",0.25,tf1_9_M_ss2,0.317
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,10,tf1_10_M_ss3,tf1_10_T1_ss3_md,test_response,"tf1_10_T3_ss3_md,tf1_10_T2_ss3_md,tf1_10_T4_ss3_md",0.25,tf1_10_M_ss3,0.507
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,70,tf1_70_M_ss3,tf1_70_T1_ss3_md,test_response,"tf1_70_T3_ss3_md,tf1_70_T4_ss3_md,tf1_70_T2_ss3_md",0.25,tf1_70_M_ss3,0.644
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,6,tf1_6_M_ss2,tf1_6_T1_ss2_md,test_response,"tf1_6_T3_ss2_md,tf1_6_T2_ss2_md,tf1_6_T4_ss2_md",0.25,tf1_6_M_ss2,1.726
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,11,tf1_11_M_ss1,tf1_11_T1_ss1_md,test_response,"tf1_11_T3_ss1_md,tf1_11_T4_ss1_md,tf1_11_T2_ss1_md",0.25,tf1_11_M_ss1,1.755
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,62,tf1_62_M_ss1,tf1_62_T1_ss1_md,test_response,"tf1_62_T3_ss1_md,tf1_62_T2_ss1_md,tf1_62_T4_ss1_md",0.25,tf1_62_M_ss1,0.978
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,12,tf1_12_M_ss2,tf1_12_T1_ss2_md,test_response,"tf1_12_T3_ss2_md,tf1_12_T4_ss2_md,tf1_12_T2_ss2_md",0.25,tf1_12_M_ss2,3.029
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,13,tf1_13_M_ss3,tf1_13_T1_ss3_md,test_response,"tf1_13_T3_ss3_md,tf1_13_T4_ss3_md,tf1_13_T2_ss3_md",0.25,tf1_13_M_ss3,2.385
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,14,tf1_14_M_ss1,tf1_14_T1_ss1_md,test_response,"tf1_14_T3_ss1_md,tf1_14_T2_ss1_md,tf1_14_T4_ss1_md",0.25,tf1_14_M_ss1,1.536
