task,item,expected_answer,trials,prop_correct
egma (addition),6+2,8,21,1
egma (addition),3+3,6,21,0.9523809523809523
egma (addition),9+3,12,21,0.9523809523809523
egma (addition),10+2,12,20,0.95
egma (number comparison),"11, 24",24,22,1
egma (number comparison),"39, 23",39,22,0.9545454545454546
egma (number comparison),"623, 632",632,22,0.9545454545454546
egma (number comparison),"65, 67",67,22,0.9545454545454546
egma (number comparison),"7, 5",7,22,0.9545454545454546
egma (number comparison),"94, 78",94,22,0.9545454545454546
egma (number identification),108,108,22,1
egma (number identification),2,2,24,1
egma (number identification),22,22,24,1
egma (number identification),39,39,23,1
egma (number identification),9,9,24,1
egma (number identification),0,0,24,0.9583333333333334
egma (number identification),12,12,24,0.9583333333333334
egma (number identification),23,23,23,0.9565217391304348
egma (number identification),48,48,23,0.9565217391304348
egma (number identification),65,65,23,0.9565217391304348
egma (number-to-line),"{'0': 0, '1': 100}",98,13,1
egma (subtraction),9-1,8,18,1
matrix-reasoning,l1rpmR1AllCP5Stimulus,l1rpmR1AllCP5Answer,2,1
matrix-reasoning,l1rpmR1ClDRCP13Stimulus,l1rpmR1ClDRCP13Answer,1,1
matrix-reasoning,l1rpmR6ShDClDRCP6Stimulus,l1rpmR6ShDClDRCP6Answer,1,1
mental-rotation,an2280,an2000,5,1
mental-rotation,an2320,an2000,5,1
mental-rotation,an6320,an6000,5,1
mental-rotation,ap13240,ap13000,5,1
mental-rotation,ap2240,ap2000,5,1
mental-rotation,bn14320,bn14000,2,1
mental-rotation,bn15240,bn15000,2,1
mental-rotation,bn5320,bn5000,4,1
mental-rotation,bp1320,bp1000,4,1
mental-rotation,bp15280,bp15000,2,1
mental-rotation,bp15320,bp15000,2,1
mental-rotation,cn10320,cn10000,1,1
mental-rotation,cn15240,cn15000,1,1
mental-rotation,cn17280,cn17000,1,1
mental-rotation,cn5240,cn5000,1,1
mental-rotation,cn6280,cn6000,1,1
mental-rotation,cp10280,cp10000,1,1
mental-rotation,cp14240,cp14000,1,1
mental-rotation,cp15280,cp15000,1,1
mental-rotation,cp17240,cp17000,1,1
mental-rotation,cp5280,cp5000,1,1
mental-rotation,cp5320,cp5000,1,1
mental-rotation,cp6320,cp6000,1,1
mental-rotation,dn020,dn000Silh,10,1
mental-rotation,dn10280,dn10000,1,1
mental-rotation,dn10320,dn10000,1,1
mental-rotation,dn11320,dn11000,1,1
mental-rotation,dn120,dn000Silh,8,1
mental-rotation,dn1240,dn1000,1,1
mental-rotation,dn1320,dn1000,1,1
mental-rotation,dn15280,dn15000,1,1
mental-rotation,dn2280,dn2000,1,1
mental-rotation,dn240,dn000Silh,7,1
mental-rotation,dn280,dn000Silh,7,1
mental-rotation,dn320,dn000Silh,7,1
mental-rotation,dn4320,dn4000,1,1
mental-rotation,dn8240,dn8000,1,1
mental-rotation,dn8280,dn8000,1,1
mental-rotation,dp020,dp000Silh,10,1
mental-rotation,dp10240,dp10000,1,1
mental-rotation,dp11280,dp11000,1,1
mental-rotation,dp15320,dp15000,1,1
mental-rotation,dp160,dp000Silh,8,1
mental-rotation,dp2240,dp2000,1,1
mental-rotation,dp240,dp000Silh,7,1
mental-rotation,dp280,dp000Silh,7,1
mental-rotation,dp320,dp000Silh,7,1
mental-rotation,dp4280,dp4000,1,1
mental-rotation,dp8320,dp8000,1,1
mental-rotation,en10320,en10000,1,1
mental-rotation,en15240,en15000,1,1
mental-rotation,en17240,en17000,1,1
mental-rotation,en17280,en17000,1,1
mental-rotation,en3320,en3000,1,1
mental-rotation,en5240,en5000,1,1
mental-rotation,en6280,en6000,1,1
mental-rotation,ep15280,ep15000,1,1
mental-rotation,ep3280,ep3000,1,1
mental-rotation,ep5280,ep5000,1,1
mental-rotation,ep5320,ep5000,1,1
mental-rotation,ep6320,ep6000,1,1
mental-rotation,gn040,gn000Silh,6,1
mental-rotation,gn240,gn000Silh,5,1
mental-rotation,gn280,gn000Silh,5,1
mental-rotation,gn320,gn000Silh,5,1
mental-rotation,gp040,gp000Silh,6,1
mental-rotation,gp080,gp000Silh,6,1
mental-rotation,gp280,gp000Silh,5,1
mental-rotation,gp320,gp000Silh,5,1
mental-rotation,rn020,rn000Silh,17,1
mental-rotation,rn120,rn000Silh,16,1
mental-rotation,rn280,rn000Silh,10,1
mental-rotation,rp020,rp000Silh,17,1
mental-rotation,rp040,rp000Silh,17,1
mental-rotation,rp280,rp000Silh,10,1
mental-rotation,rp320,rp000Silh,10,1
mental-rotation,tn020,tn000Silh,7,1
mental-rotation,tn040,tn000Silh,7,1
mental-rotation,tn120,tn000Silh,7,1
mental-rotation,tn240,tn000Silh,6,1
mental-rotation,tn320,tn000Silh,6,1
mental-rotation,tp020,tp000Silh,7,1
mental-rotation,tp040,tp000Silh,7,1
mental-rotation,tp080,tp000Silh,7,1
mental-rotation,tp280,tp000Silh,6,1
mental-rotation,tp320,tp000Silh,6,1
roar (sre-es),A las gaviotas les gusta nadar con los tiburones.,NA,2,1
roar (sre-es),A los niños y niñas les gusta jugar.,NA,3,1
roar (sre-es),Abril es el primer mes del año.,NA,5,1
roar (sre-es),Agosto es el último mes del año.,NA,5,1
roar (sre-es),Algunas personas caminan descalzas sobre la arena.,NA,2,1
roar (sre-es),Algunas personas comen pescado.,NA,3,1
roar (sre-es),Algunas personas mayores utilizan bastón.,NA,3,1
roar (sre-es),Algunas personas toman agua de coco cuando tienen sed.,NA,5,1
roar (sre-es),Algunos loros construyen nidos en los árboles para criar a sus crías.,NA,1,1
